codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L488;ATTALEA EXCELSA CERA;;;68917-70-4;272-847-6;Attalea Excelsa Cera is the wax obtained from the ouricoury, Attalea excelsa, Arecaceae;;Antistatic/film forming
L489;ATTAPULGITE;;;12174-11-7;;Palygorskite;;Viscosity controlling
L490;AVENA SATIVA BRAN;;;;;Avena Sativa Bran is the broken coat of the kernels of oats, Avena sativa, Poaceae;;Abrasive/absorbent/bulking
L491;AVENA SATIVA BRAN EXTRACT;;;84012-26-0;281-672-4;Avena Sativa Bran Extract is an extract of the bran of oats, Avena sativa, Poaceae;;Abrasive
L492;AVENA SATIVA EXTRACT;;;84012-26-0;281-672-4;Avena Sativa Extract is an extract of the seeds of the oat, Avena sativa, Poaceae;;Emollient
L493;AVENA SATIVA FLOUR;;;;;Avena Sativa Flour is a powder obtained by the fine grinding of the kernels of oat, Avena sativa,  Poaceae;;Abrasive/absorbent/viscosity con- trolling
L494;AVENA SATIVA KERNEL EXTRACT;;;84012-26-0;281-672-4;Avena Sativa Kernel Extract is an extract of the kernels of oats, Avena sativa, Poaceae;;Abrasive
L495;AVENA SATIVA KERNEL OIL;;;;;Avena Sativa Kernel Oil is the fixed oil expressed from the kernels of the oat, Avena sativa,  Poaceae;;Solvent
L496;AVENA SATIVA MEAL;;;;;Avena Sativa Meal is a coarse meal obtained by the grinding of the kernels of oats, Avena sativa,  Poaceae;;Abrasive
L497;AVENA SATIVA MEAL EXTRACT;;;84012-26-0;281-672-4;Avena Sativa Meal Extract is an extract of the meal of the oat, Avena sativa, Poaceae;;Soothing
L498;AVENA SATIVA PROTEIN;;;134134-87-5;;Avena Sativa Protein is a protein obtained from the kernels  of oat, Avena sativa, Poaceae;;Soothing/moisturising/abrasive/ absorbent/hair conditioning/skin conditioning/viscosity  controlling
L499;AVENA SATIVA PROTEIN EXTRACT;;;134134-87-5;;Avena Sativa Protein Extract is an extract of the protein of the oat, Avena sativa, Poaceae;;Skin conditioning
L500;AVENA SATIVA STARCH;;;9005-25-8;232-679-6;Starch. High-polymeric carbohydrate material usually derived from the grains of the cereal oat, Avena sativa, Poaceae;;Viscosity controlling
L501;AVERRHOA CARAMBOLA EXTRACT;;;97675-54-2;307-626-6;Averrhoa Carambola Extract is an extract of the fruit of Averrhoa carambola, Oxalidaceae;;Skin protecting
L502;AVOCADAMIDE DEA;;;124046-21-5;;Avocado amides, N,N-bis(2-hydroxyethyl)-;;Emulsifying/emulsion stabilising/ surfactant/viscosity controlling/ foam  boosting
L503;AVOCADAMIDOPROPALK- ONIUM CHLORIDE;;;124046-04-4;;1-propanaminium, N,N-dimethyl-N-phenylmethyl-3-[(1- oxoavocado)amino]-, chloride;;Antistatic
L504;AVOCADAMIDOPROPYL BETAINE;;;246865-42-9;;1-Propanaminium, 3-amino-N-(carboxymethyl)-N, N- dimethyl, N-avocado-oil acyl derivatives, inner  salts;;Surfactant/cleansing/foam  boosting
L505;AVOCADAMIDOPROPYL DIMETHYLAMINE;;;226994-25-8;;Amides, avocado oil,  N-[3-(dimethylamino)propyl];;Antistatic
L506;AVOCADO OIL PEG-11 ESTERS;;;103819-44-9;;Oils, avocado, ethoxylated, 11 mol EO (average molar  ratio);;Emollient
L507;AZELAIC ACID;;;123-99-9;204-669-1;Nonanedioic acid;;Buffering
L508;AZELAMIDE MEA;;;242132-61-2;;Nonanoic  acid, 9-[(2-hydroxyethyl)amino]-9-oxo-,;;Surfactant/foam boosting/viscosity controlling
L509;AZULENE;;;275-51-4;205-993-6;Bicyclo[5.3.0]decapentaene;;Soothing
L510;BABASSUAMIDE  DEA;;;124046-24-8;;Babassu amides, N,N-bis(2-hydroxyethyl)-;;Surfactant/foam boosting
L511;BABASSUAMIDOPRO- PALKONIUM  CHLORIDE;;;124046-05-5;;1-propanaminium, N,N-dimethyl-N-phenylmethyl-3-[(1- oxobabassu)amino]-, chloride;;Antistatic/hair conditioning
L512;BABASSUAMIDOPROPYL BETAINE;;;223704-95-8;;1-Propanaminium, 3-amino-N-(carboxymethyl)-N, N- dimethyl-, N-babassu-oil acyl derivatives, inner  salt;;Surfactant/foam  boosting/cleansing
L513;BABASSUAMIDOPROPYL DIMETHYLAMINE;;;223707-87-8;;Amides,  babassu oil, N-[3-(dimethylamino)propyl]-;;Antistatic
L514;BABASSUAMIDOPROPY- LAMINE OXIDE;;;124046-26-0;;Propane, 1-dimethylamino-3-[(1-oxobabassu)amino]-, N- oxide;;Surfactant/foaming/cleansing
L515;BAKUCHIOL;;;17015-60-0;;Phenol, 4-(3-ethenyl-3,7-dimethyl-1,6-octadienyl)-, (E)-;;Antimicrobial
L516;BAMBUSA ARUNDINA- CEA EXTRACT;;;91771-32-3;294-922-2;Bambusa Arundinacea Extract is an extract of the stems of the bamboo, Bambusa arundinacea,   Poaceae;;Skin conditioning
L517;BAMBUSA ARUNDINA- CEA POWDER;;;;;Bambusa Arundinacea Powder is the powder obtained from the dried, ground stems of Bambusa arundinacea,    Poaceae;;Abrasive
L518;BAMBUSA VULGARIS EXTRACT;;;91771-33-4;294-923-8;Bambusa Vulgaris Extract is an extract of the leaves and stems of the bamboo, Bambusa vulgaris,   Poaceaea;;Humectant
L519;BAPTISIA TINCTORIA;;;;;Baptisia Tinctoria is a plant material derived from the roots of the wild indigo, Baptisia tinctoria,   Leguminosae;;Tonic
L520;BAPTISIA TINCTORIA EXTRACT;;;84775-46-2;283-875-3;Baptisia Tinctoria Extract is an extract of the roots of the wild indigo, Baptisia tinctoria,  Leguminosae;;Tonic
L521;BARIUM SULFATE;;;7727-43-7;231-784-4;Barium  sulphate  (CI 77120);;Opacifying
L522;BARIUM SULFIDE;;;21109-95-5;244-214-4;Barium sulphide;III/1,23;Depilatory
L523;BAROSMA BETULINA EXTRACT;;;84649-93-4;283-474-3;Barosma Betulina Extract is an extract of the roots of Barosma betulina, Rutaceae;;Skin conditioning
L524;BASIC BLUE 3;;;33203-82-6;251-403-5;3,7-Bis(diethylamino)phenoxazin-5-ium  chloride;;Hair dyeing
L525;BASIC BLUE 6;;;966-62-1;213-524-1;9-(dimethylamino)benzo[a]phenoxazin-7-ium chloride (CI 51175);;Hair dyeing
L526;BASIC BLUE 7;;;2390-60-5;219-232-0;[4-[4-(diethylamino)-.alpha.-[4-(ethylamino)-1-naphthyl] benzylidene]cyclohexa-2,5-dien-1-ylidene]diethylammo- nium  chloride  (CI 42595);;Hair dyeing
L527;BASIC BLUE 9;methylthioninum chloride;methylthioninii chlori- dum;61-73-4;200-515-2;Phenothiazin-5-ium, 3,7-bis(dimethylamino)-, chloride (CI 52015);;Hair dyeing
L528;BASIC BLUE 26;;;2580-56-5;219-943-6;[4-[[4-anilino-1-naphthyl][4-(dimethylamino)phenyl]methy- lene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride  (CI 44045);;Hair dyeing
L529;BASIC BLUE 41;;;12270-13-2;235-546-0;2-[[4-[ethyl(2-hydroxyethyl)amino]phenyl]azo]-6-methoxy- 3-methylbenzothiazolium  methyl  sulphate  (CI 11154);;Hair dyeing
L530;BASIC BLUE 47;;;67905-56-0;267-677-4;9,10-Anthracenedione, 1-amino-4-[[4-[(dimethylamino) methyl]phenyl]amino]-,  monohydrochloride  (CI  61111);;Hair dyeing
L531;BASIC BLUE 99;;;68123-13-7;268-544-3;3-[(4-amino-6-bromo-5,8-dihydro-1-hydroxy-8-imino-5- oxo-2-naphtyl)amino]-N, N,N-trimethylanilinium chloride (CI 56059);;Hair dyeing
L532;BASIC BROWN 4;;;4482-25-1;224-764-1;1,3-Benzenediamine, 4,4'-[(4,4-methyl- 1,3-phenylene)bis (azo)]bis[6-methyl-  (CI 21010);;Hair dyeing
L533;BASIC BROWN 16;;;26381-41-9;247-640-9;[8-[(p-aminophenyl)azo]-7-hydroxy-2-naphthyl]trimethy- lammonium chloride (CI 12250);;Hair dyeing
L534;BASIC BROWN 17;;;71134-97-9;275-216-3;[8-[(4-amino-2-nitrophenyl)azo]-7-hydroxy-2-naphthyl]tri- methylammonium chloride (CI 12251);;Hair dyeing
L535;BASIC GREEN 1;;;633-03-4;211-190-1;[4-[4-(diethylamino)benzhydrylene]cyclohexa-2,5-dien-1- ylidene]diethylammonium  hydrogen  sulphate  (CI 42040);;Hair dyeing
L536;BASIC ORANGE 1;;;4438-16-8;224-654-3;1,3-Benzenediamine, 4-methyl-6-(phenylazo)-, monohy- drochloride  (CI 11320);;Hair dyeing
L537;BASIC ORANGE 2;;;532-82-1;208-545-8;4-Phenylazophenylene-1,3-diamine monohydrochloride (CI 11270);;Hair dyeing
L538;BASIC RED 2;;;477-73-6;207-518-8;3,7-diamino-2,8-dimethyl-5-phenylphenazinium chloride (CI 50240);;Hair dyeing
L539;BASIC RED 22;;;12221-52-2;;5-(4'-dimethylaminophenylazo)-1,4-dimethyl-triazolium chloride;;Hair dyeing
L540;BASIC RED 46;;;12221-69-1;;1H-1,2,4-triazolium, 1,4-dimethyl-5-[[4-[methyl(phenyl- methyl)amino]phenyl]azo]-,  bromide  (CI 110825);;Hair dyeing
L541;BASIC RED 76;;;68391-30-0;269-941-4;[7-hydroxy-8-[(2-methoxyphenyl)azo]-2-naphthyl]trimethy- lammonium chloride (CI 12245);;Hair dyeing
L542;BASIC RED 118;;;71134-97-9;275-216-3;2-Naphthalenaminium, 8-[(4-amino-2-nitrophenyl)azo]-7- hydroxy-N, N,N-trimethyl-, chloride (CI 12251:1);;Hair dyeing
L543;BASIC VIOLET 4;;;2390-59-2;219-231-5;[4-[bis[4-(diethylamino)phenyl]methylene]-2,5-cyclohexa- dien-1-ylidene]diethylammonium  chloride  (CI 42600);;Hair dyeing
L544;BASIC VIOLET 14;;;632-99-5;211-189-6;(4-(4-aminophenyl)(4-iminocyclohexa-2,5-dienylidene) methyl)-2-methylaniline  hydrochloride  (CI 42510);;Hair dyeing
L545;BASIC YELLOW 11;;;4208-80-4;224-132-5;2-(2-((2,4-dimethoxyphenyl)amino)vinyl)-1,3,3-trimethyl- 3H-indolium  chloride  (CI 48055);;Hair dyeing
L546;BASIC YELLOW 28;;;54060-92-3;258-946-7;2-[[(4-methoxyphenyl)methylhydrazono]methyl]-1,3,3-tri- methyl-3H-indolium  methyl  sulfate  (CI 48054);;Hair dyeing
L547;BASIC YELLOW 57;;;68391-31-1;269-943-5;3-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl) azo]-N, N,N-trimethylanilinium chloride (CI   12719);;Hair dyeing
L548;BASSIA LATIFOLIA BUT- TER;;;;310-127-6;Bassia Latifolia Butter is the natural fat obtained from the fruit of the illipe, Bassia latifolia,  Chenopodiaceae;;Emollient
L549;BATYL ALCOHOL;batilol;;544-62-7;208-874-7;1,2-Propanediol, 3-(octadecyloxy)-;;Emollient
L550;BATYL ISOSTEARATE;;;170754-20-8;;Isostearic acid, 3-octadecyloxy-2-hydroxypropyl  ester;;Emollient
L551;BATYL STEARATE;;;13232-26-3;;Stearic acid, 2-(octadecyloxy)-3-hydroxypropyl ester;;Emollient
L552;BEAN PALMITATE;;;;;Product obtained by the reaction of crushed beans of the genus Phaseolus with palmitic acid   chloride;;Skin conditioning
L553;BEER;;;8029-31-0;;Naturally occurring  substances, beer;;Skin conditioning/hair condition- ing
L554;BEESWAX ACID;;;135457-95-3;;Fatty acids, beeswax;;Stabilising
L555;BEHENALKONIUM CHLORIDE;;;16841-14-8;240-865-3;Benzyldocosyldimethylammonium  chloride;;Antistatic/surfactant/hair condi- tioning
L556;BEHENAMIDE;;;3061-75-4;221-304-1;Docosanamide;;Opacifying/viscosity controlling
L557;BEHENAMIDE  DEA;;;70496-39-8;;Docosanamide, N,N-bis(2-hydroxyethyl)-;;Surfactant/foam boosting
L558;BEHENAMIDE MEA;;;94109-05-4;302-442-2;N-(2-hydroxyethyl)docosanamide;;Surfactant/foam boosting
L559;BEHENAMIDOPROPYL BETAINE;;;138527-93-2;;1-propanaminium, N-carboxymethyl-N,N-dimethyl-3-[(1- oxodocosanyl)amino]-,  hydroxide,  inner salt;;Surfactant/foam  boosting/cleansing
L560;BEHENAMIDOPROPYL DIMETHYLAMINE;;;60270-33-9;262-134-8;N-[3-(dimethylamino)propyl]docosanamide;;Antistatic/emulsifying
L561;BEHENAMIDOPROPYL DIMETHYLAMINE BEHE- NATE;;;125804-04-8;;Docosanoic acid, compound with N-[3-(dimethylamino) propyl]docosamide (1:1);;Antistatic/skin conditioning/hair conditioning
L562;BEHENAMIDOPROPYL DIMETHYLAMINE LAC- TATE;;;221446-54-4;;Propanoic acid, 2-hydroxy-, compound with N-[3- (dimethylamino)propyl]docosanamide  (1:1);;Antistatic/hair conditioning
L563;BEHENAMIDOPROPYL ETHYLDIMONIUM ETHO- SULFATE;;;68797-65-9;;1-propanaminium, N,N-dimethyl-N-ethyl-3-[(1-oxodocosa- nyl)amino]-, ethyl sulfate;;Antistatic/hair conditioning
L564;BEHENAMIDOPROPYL PG- DIMONIUM CHLORIDE;;;136920-10-0;;1-propanaminium, N,N-dimethyl-N-(2,3-dihydroxypropyl)- 3-[(1-oxodocosanyl)amino]-,  chloride;;Antistatic/hair conditioning
L565;BEHENAMINE OXIDE;;;26483-35-2;247-730-8;N, N-dimethyldocosylamine N-oxide;;Surfactant/foaming/cleansing
L566;BEHENETH-5;;;26636-40-8;;Docosanol, ethoxylated, 5 mol EO (average molar   ratio);;Emulsifying
L567;BEHENETH-10;;;26636-40-8;;Docosanol, ethoxylated, 10  mol EO (average molar   ratio);;Emulsifying
L568;BEHENETH-20;;;26636-40-8;;Docosanol, ethoxylated, 20 mol EO (average molar   ratio);;Emulsifying
L569;BEHENETH-25;;;26636-40-8;;Docosanol, ethoxylated, 25 mol EO (average molar   ratio);;Emulsifying
L570;BEHENETH-30;;;26636-40-8;;Docosanol, ethoxylated, 30 mol EO (average molar   ratio);;Emulsifying
L571;BEHENIC ACID;;;112-85-6;204-010-8;Docosanoic acid;;Emulsifying
L572;BEHENOXY DIMETHI- CONE;;;193892-43-2;;Poly(oxy(dimethylsilylene)),.alpha.-docosyl-.omega.-(docosy- loxy)-;;Emollient
L573;BEHENOYL PG-TRIMO- NIUM CHLORIDE;;;69537-38-8;274-033-6;2-hydroxy-3-[(1-oxodocosyl)oxy]propyltrimethylammo- nium chloride;;Antistatic/hair conditioning
L574;BEHENTRIMONIUM CHLORIDE;;;17301-53-0;241-327-0;Docosyltrimethylammonium   chloride;VI/1,44;Preservative/hair conditioning
L575;BEHENTRIMONIUM METHOSULFATE;;;81646-13-1;279-791-1;Docosyltrimethylammonium methyl sulphate;;Antistatic/surfactant/hair condi- tioning
L576;BEHENYL  ALCOHOL;;;661-19-8;211-546-6;Docosan-1-ol;;Emollient
L577;BEHENYL BEESWAX;;;144514-52-3;;Fatty acids, beeswax, docosyl ester;;Viscosity controlling
L578;BEHENYL BEHENATE;;;17671-27-1;241-646-5;Docosyl  docosanoate;;Emollient
L579;BEHENYL BENZOATE;;;103403-38-9;;1-Docosanol, benzoate;;Skin  conditioning/emollient
L580;BEHENYL BETAINE;;;26920-62-7;248-108-9;(carboxylatomethyl)docosyldimethylammonium;;Antistatic/surfactant/foam boost- ing/cleansing
L581;BEHENYL ERUCATE;;;18312-32-8;242-201-8;Docosyl (Z)-docos-13-enoate;;Emollient
L582;BEHENYL HYDRO- XYETHYL IMIDAZOLINE;;;39957-00-1;254-719-1;2-henicosyl-4,5-dihydro-1H-imidazole-1-ethanol;;Antistatic/hair conditioning
L583;BEHENYL ISOSTEARATE;;;181496-25-3;;Isostearic acid, docosyl ester;;Emollient
L584;BEHENYL/ISOSTEARYL BEESWAX;;;235433-32-6;;Fatty acids, beeswax, esters with docosanol and 16- methylheptadecanol;;Emollient/emulsifying/film forming
L585;BELAMCANDA CHINENSIS EXTRACT;;;223748-07-0;;Belamcanda Chinensis Extract is an extract of the roots of Belamcanda chinensis, Iridaceae;;Skin conditioning
L586;BELLIS PERENNIS EXTRACT;;;84776-11-4;283-935-9;Bellis Perennis Extract is an extract of the flowers of the daisy, Bellis perennis, Compositae;;Cleansing
L587;BENTONITE;bentonite;bentonitum;1302-78-9;215-108-5;Bentonite. A colloidal clay. Consists primarily of mon- tmorillonite  (CI 77004);;Absorbent/emulsion stabilising/ viscosity controlling
L588;BENZALDEHYDE;benzaldehyde;;100-52-7;202-860-4;Benzaldehyde;;Solvent
L589;BENZALKONIUM BRO- MIDE;;;91080-29-4;293-522-5;Quaternary ammonium compounds, benzyl-C8-18-alkyldi- methyl, bromides;VI/1,54/III/1,65;Preservative/antistatic
L590;BENZALKONIUM CETYL PHOSPHATE;;;;;Complex mixture of the products formed by the reaction of C8-18-alkylbenzyldimethylammonium chloride with 1- hexadecyl  dihydrogenphosphate;;Antimicrobial/deodorant
L591;BENZALKONIUM CHLOR- IDE;;benzalkonii  chloridum;63449-41-2/;264-151-6;Quaternary ammonium compounds, benzyl-C8-18-alkyldi- methyl, chlorides;VI/1,54/III/1,65;Preservative/antistatic
L592;BENZALKONIUM SAC- CHARINATE;;;68989-01-5;273-545-7;Quaternary ammonium compounds, benzyl-C12-18-alkyl- dimethyl, salts with 1,2-benzisothiazol-3(2H)-one 1,1-diox- ide (1:1);VI/1,54/III/1,65;Preservative/antistatic
L593;BENZALPHTHALIDE;;;575-61-1;209-388-8;3-benzylidenephthalide;;Uv absorber
L594;1,2,4-BENZENETRIACE- TATE;;;613-03-6;210-327-2;Benzene-1,2,4-triyl triacetate;;Hair dyeing
L595;BENZETHONIUM CHLOR- IDE;benzethonium chloride;benzethonii  chloridum;121-54-0;204-479-9;Benzenemethanaminium, N,N-dimethyl-N-[2-[2-[4- (1,1,3,3,-tetramethylbutyl)phenoxy]ethoxy]ethyl]-, chloride;VI/1,53;Preservative
L596;BENZISOTHIAZOLINONE;;;2634-33-5;220-120-9;1,2-benzisothiazol-3(2H)-one;;Antimicrobial
L597;BENZOIC ACID;benzoic acid;acidum benzoicum;65-85-0;200-618-2;Benzoic acid;VI/1,1;Preservative
L598;BENZOIC ACID/PHTHALIC ANHYDRIDE/PENTAERY- THRITOL/NEOPENTYL GLYCOL/PALMITIC ACID COPOLYMER;;;68647-39-2;;1,3-Isobenzofurandione, polymer with 2,2-bis(hydroxy- methyl)-1,3-propanediol and 2,2-dimethyl-1,3-propanediol, benzoates  hexadecanoates;;Film forming
L599;BENZOPHENONE;;;119-61-9;204-337-6;Benzophenone;;Uv absorber
L600;BENZOPHENONE-1;;;131-56-6;205-029-4;2,4-dihydroxybenzophenone;;Uv absorber
L601;BENZOPHENONE-2;;;131-55-5;205-028-9;2,2',4,4'-tetrahydroxybenzophenone;;Uv absorber
L602;BENZOPHENONE-3;oxybenzone;;131-57-7;205-031-5;2-Hydroxy-4-methoxybenzophenone;VII/1,4;Uv absorber/uv filter
L603;BENZOPHENONE-4;sulisobenzone;;4065-45-6;223-772-2;5-Benzoyl-4-hydroxy-2-methoxybenzenesulfonic  acid;VII/1,22;Uv filter/uv absorber
L604;BENZOPHENONE-5;;;6628-37-1;;Benzenesulfonic acid, 5-benzoyl-4-hydroxy-2-methoxy-, monosodium  salt;VII/1,22;Uv absorber/uv filter
L605;BENZOPHENONE-6;;;131-54-4;205-027-3;2,2'-dihydroxy-4,4'-dimethoxybenzophenone;;Uv absorber
L606;BENZOPHENONE-7;;;85-19-8;201-592-5;5-chloro-2-hydroxybenzophenone;;Uv absorber
L607;BENZOPHENONE-8;dioxybenzone;;131-53-3;205-026-8;2,2'-dihydroxy-4-methoxybenzophenone;;Uv absorber
L608;BENZOPHENONE-9;;;76656-36-5;278-520-4;Disodium 3,3'-carbonylbis[4-hydroxy-6-methoxybenzene- sulphonate];;Uv absorber
L609;BENZOPHENONE-10;mexenone;;1641-17-4;216-688-2;2-Hydroxy-4-methoxy-4'-methylbenzophenone;;Uv absorber
L610;BENZOPHENONE-11;;;1341-54-4;;Bis(2,4-dihydroxyphenyl)methanone and bis(2-hydroxy-4- methoxyphenyl)methanone;;Uv absorber
L611;BENZOPHENONE-12;octabenzone;;1843-05-6;217-421-2;2-Hydroxy-4-octyloxybenzophenone;;Uv absorber
L612;BENZOTRIAZOLE;;;95-14-7;202-394-1;Benzotriazole;;Antimicrobial
L613;BENZOXIQUINE;benzoxiquine;;86-75-9;201-697-6;8-Quinolyl benzoate;;Antimicrobial
L614;BENZOXONIUM CHLOR- IDE;benzoxonium chlor- ide;;19379-90-9;243-008-1;Benzenemethanaminium, N-dodecyl-N,N-bis (2-hydro- xyethyl)-, chloride;;Antimicrobial
L615;BENZYL ACETATE;;;140-11-4;205-399-7;Benzyl acetate;;Solvent
L616;BENZYL ALCOHOL;benzyl alcohol;alcohol benzylicus;100-51-6;202-859-9;Benzyl alcohol;III/1,45 � VI/1,34;Preservative/solvent
L617;BENZYL BENZOATE;benzyl benzoate;benzylis benzoas;120-51-4;204-402-9;Benzyl benzoate;;Solvent
L618;BENZYL CINNAMATE;;;103-41-3;203-109-3;2-Propenoic acid, 3-phenyl, phenylmethyl   ester;;Masking
L619;BENZYL HYALURONATE;;;111744-92-4;;Hyaluronic acid, phenylmethyl  ester;;Skin  conditioning/humectant
L620;BENZYL LAURATE;;;140-25-0;205-405-8;Benzyl laurate;;Emollient
L621;BENZYL  NICOTINATE;;;94-44-0;202-332-3;3-Pyridinecarboxylic acid, phenylmethyl  ester;;Antistatic
L622;BENZYL SALICYLATE;;;118-58-1;204-262-9;Benzyl salicylate;;Uv absorber
L623;BENZYL TRIETHYL AMMONIUM CHLORIDE;;;56-37-1;200-270-1;Benzyltriethylammonium  chloride;;Antistatic
L624;BENZYLHEMIFORMAL;;;14548-60-8;238-588-8;Methanol, (phenylmethoxy)-;VI/1,55;Preservative
L625;3-BENZYLIDENE CAM- PHOR;;;15087-24-8;239-139-9;1,7,7-trimethyl-3-(phenylmethylene)bicyclo[2.2.1]heptan-2- one;VII/1,19;Uv absorber/uv filter
L626;BENZYLIDENE CAMPHOR SULFONIC ACID;;;56039-58-8;;Alpha-(2-oxoborn-3-ylidene)toluene-4  sulphonic  acid;VII/1,9;Uv absorber/uv filter
L627;BENZYLIDENECAMPHOR HYDROLYZED COLLAGEN SULFONAMIDE;;;222400-12-6;;Collagens, hydrolyzates, [[4-[(4,7,7-trimethyl-3-oxobicyclo- [2.2.1]-hept-2-ylidene)methyl]phenyl]sulphonyl];;Hair  conditioning/skin  protecting
L628;BENZYLPARABEN;;;94-18-8;202-311-9;Benzyl 4-hydroxybenzoate;;Antimicrobial
L629;BENZYLTRIMONIUM HYDROLYZED  COLLAGEN;;;113089-56-8;;Collagens, hydrolyzates, N,N,N-trimethylbenzenemethana- minium salts;;Antistatic/skin conditioning/hair conditioning
L630;BERBERINE CHLORIDE;;;633-65-8;211-195-9;Benzo[g]-1,3-benzodioxolo[5,6-a]quinolizinium, 5,6-dihy- dro-9,10-dimethoxy-,  chloride;;Antimicrobial
L631;BERBERIS VULGARIS;;;;;Berberis Vulgaris is a plant material derived from the dried rhizomes and roots of the berberis, Berberis vulgaris, Berberidaceae;;Antimicrobial
L632;BERBERIS VULGARIS EXTRACT;;;84649-92-3;283-473-8;Berberis Vulgaris Extract is an extract of the fresh root bark of the berberis, Berberis vulgaris,  Berberidaceae;;Antimicrobial
L633;BERTHOLLETIA EXCELSA NUT OIL;;;;310-127-6;Bertholletia Excelsa Nut Oil is the fixed oil expressed from the nuts of the Brazil nut tree, Bertholletia excelsa, Lecythidaceae;;Solvent
L634;BETA VULGARIS;;;7659-95-2;231-628-5;[S-(R*,R*)]-4-[2-[2-carboxy-5-(.beta.-D-glucopyranosyloxy)- 2,3-dihydro-6-hydroxy-1H-indol-1-yl]vinyl]-2,3-dihydro- pyridine-2,6-dicarboxylic acid;IV/1;Cosmetic colorant
L635;BETA VULGARIS EXTRACT;;;89957-89-1;289-610-8;Beta Vulgaris Extract is an extract of the roots of the beet, Beta vulgaris, Chenopodiaceae;IV/1;Cosmetic colorant
L636;BETA-ALANINE DIACETIC ACID;;;6245-75-6;228-360-6;N, N-bis(carboxymethyl)-.beta.-alanine;;Chelating
L637;BETA-CAROTENE;betacarotene;;7235-40-7;230-636-6;.beta.,.beta.-carotene;;Skin conditioning
L638;BETAGLUCAN;;;26874-89-5;;Beta-d-glucose homopolymer;;Skin  conditioning/bulking
L639;BETAINE;betaine;;107-43-7;203-490-6;Methanaminium, 1-carboxy-N,N,N-trimethyl-, hydroxide, inner salt;;Antistatic/viscosity controlling
L640;BETA-SITOSTEROL;;;83-46-5;201-480-6;Stigmast-5-en-3-.beta.-ol;;Emulsion stabilising/skin condi- tioning/stabilising
L641;BETA-SITOSTERYL ACET- ATE;;;915-05-9;213-019-6;Stigmast-5-en-3-.beta.-yl acetate;;Stabilising/skin  conditioning
L642;BETULA ALBA BARK EXTRACT;;;84012-15-7;281-660-9;Betula Alba Bark Extract is an extract of the bark of the birch, Betula alba, Betulaceae;;Tonic/astringent/soothing/cleansing
L643;BETULA ALBA EXTRACT;;;84012-15-7;281-660-9;Betula Alba Extract is an extract of the leaves and bark of the birch, Betula alba, Betulaceae;;Tonic/astringent/soothing/cleansing
L644;BETULA ALBA LEAF EXTRACT;;;84012-15-7;281-660-9;Betula Alba Leaf Extract is an extract of the leaves of the birch, Betula alba, Betulaceae;;Tonic/astringent/soothing/cleansing
L645;BETULA ALBA OIL;;;8001-88-5/8027-43-8;;Betula Alba Oil is the volatile oil obtained from the leaves of Betula alba, Betulaceae;;Masking
L646;BETULA ALBA SAP;;;;;Betula Alba Sap is the sap of the birch tree, Betula alba, Betulaceae;;Skin protecting
L647;BETULA PLATYPHYLLA JAPONICA  EXTRACT;;;223748-09-2;;Betula Platyphylla Japonica Extract is an extract of the bark of Betula platyphylla japonica, Betulaceae;;Skin conditioning
L648;BHA;butylated hydroxy- toluene;;25013-16-5;246-563-8;Tert-butyl-4-methoxyphenol;;Antioxidant
L649;BHT;butylated hydroxy- toluene;butylhydroxytolue- num;128-37-0;204-881-4;2,6-di-tert-butyl-P-cresol;;Antioxidant
L650;BIOFLAVONOIDS;;;61788-55-4;;Flavonoids, lemon oil;;Soothing
L651;BIOSACCHARIDE GUM-1;;;;;.alpha.-L-fucose-1,3-.alpha-D-galactose-1,3-.alpha-D-galac- turonic  acid  homopolymer;;Skin conditioning
L652;BIOTIN;biotin;biotinum;58-85-5;200-399-3;1H-Thieno[3,4-d]imidazole-4-pentanoic acid, hexahydro-2- oxo-,[3aS-(3a.alpha.,4.beta.,6a.alpha.)]-;;Hair conditioning/skin condition- ing/antiseborrhoeic
L653;BISABOLOL;;;515-69-5;208-205-9;(R*,R*)-.alpha.,4-dimethyl-.alpha.-(4-methyl-3-pentenyl) cyclohex-3-ene-1-methanol;;Soothing
L654;1,3-BIS-(2,4-DIAMINOPHE- NOXY)PROPANE;;;81892-72-0;279-845-4;4,4'-[1,3-propanediylbis(oxy)]bisbenzene-1,3-diamine;;Hair dyeing
L655;BIS-DIGLYCERYL POLYA- CYLADIPATE-1;;;222722-06-7;406-144-4;Hexanedioic acid, 3-(2,3-dihydroxypropyloxy)-2-hydroxy- propyl diester, esters from reaction with a mixture of octanoic, decanoic, isooctadecanoic and 12-hydroxyoctade- canoic acids;;Emollient
L656;BIS-DIGLYCERYL POLYA- CYLADIPATE-2;;;13095-60-1;406-144-4;Hexanedioic acid, 3-(2,3-dihydroxypropyloxy)-2-hydroxy- propyl diester, esters from reaction with a mixture of octanoic, decanoic, isooctadecanoic, octadecanoic and 12- hydroxyoctadecanoic acids;;Emollient
