codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L7308;TOLUENE;;;108-88-3;203-625-9;Benzene, methyl-;;Solvent
L7309;TOLUENE-2,5-DIAMINE;;;95-70-5;202-442-1;2-methyl-p-phenylenediamine  (CI  76042);III/1,9;Hair dyeing
L7310;TOLUENE-2,5-DIAMINE SULFATE;;;615-50-9;210-431-8;2-methyl-p-phenylenediamine  sulphate  (CI 76042);III/1,9;Hair dyeing
L7311;TOLUENE-3,4-DIAMINE;;;496-72-0;207-826-2;4-methyl-o-phenylenediamine  (CI  76042);III/1,9;Hair dyeing
L7312;TOLUENE SULFONIC ACID;;;104-15-4;203-180-0;Toluene-4-sulphonic acid;;Surfactant/hydrotrope
L7313;TORREYA CALIFORNICA EXTRACT;;;;;Torreya Californica Extract is an extract of the California nutmeg, Torreya californica, Taxaceae;;Emollient
L7314;TORREYA CALIFORNICA OIL;;;;;Torreya Californica Oil is the volatile oil obtained from Torreya californica, Taxaceae;;Tonic
L7315;TOSYLAMIDE/EPOXY RESIN;;;;;;;Film forming
L7316;TOSYLAMIDE/FORMAL- DEHYDE RESIN;;;25035-71-6;;Benzenesulfonamide, 4-methyl-, polymer with formalde- hyde;;Film forming
L7317;TRACHEA  HYDROLYSATE;;;91080-13-6;293-504-7;Protein hydrolyzates, trachea. Substance obtained by acidic, alkaline, or enzymatic hydrolysis of trachea composed primarily of amino acids, peptides, and proteins. It may contain impurities consisting chiefly of carbohydrates and lipids along with smaller quantities of miscellaneous organic substances  of  biological origin;;Skin conditioning
L7318;TRANEXAMIC ACID;;;1197-18-8;214-818-2;Cyclohexanecarboxylic acid, 4-(aminomethyl)-,  trans-;;Astringent
L7319;TREHALOSE;;;;;;;Humectant/moisturising
L7320;TRIACETIN;triacetin;glyceroli triacetas;102-76-1;203-051-9;Triacetin;;Antimicrobial/film forming/sol- vent/plasticiser/hair dyeing
L7321;TRIARACHIDIN;;;620-64-4;210-646-7;Propane-1,2,3-triyl  triicosanoate;;Emollient/emulsifying/skin condi- tioning
L7322;TRIBEHENIN;;;18641-57-1;242-471-7;Propane-1,2,3-triyl  tridocosanoate;;Emollient/skin  conditioning
L7323;TRIBUTYL CITRATE;;;77-94-1;201-071-2;Tributyl citrate;;Film forming/solvent/plasticiser
L7324;TRIBUTYLCRESYLBUTANE;;;1843-03-4;217-420-7;4,4',4''-(1-methylpropanyl-3-ylidene)tris[6-tert-butyl-m-cre- sol];;Film forming/solvent/plasticiser
L7325;TRI-C12-13 ALKYL CITRATE;;;93573-19-4;297-554-0;1,2,3-Propanetricarboxylic acid, 2-hydroxy-, tris(1-methyl- C11-17-alkyl) esters;;Emollient
L7326;TRI-C14-15 ALKYL CITRATE;;;222721-94-0;;1,2,3-Propanetricarboxylic acid, 2-hydroxy-, tris(C14-15- alkyl)esters;;Emollient/plasticiser
L7327;TRICALCIUM  PHOSPHATE;;;7758-87-4;231-840-8;Tricalcium  bis(orthophosphate);;Abrasive/opacifying/anticaking
L7328;TRICAPRIN;;;621-71-6;210-702-0;Glycerol tridecanoate;;Emollient/solvent/skin condition- ing
L7329;TRICAPRYLIN;;;538-23-8;208-686-5;Glycerol trioctanoate;;Emollient/solvent/skin condition- ing
L7330;TRICAPRYLYL CITRATE;;;;;1,2,3-propanetricarboxylic acid, 2-hydroxy-, trioctyl   ester;;Emollient
L7331;TRICETEARETH-4 PHOS- PHATE;;;119415-85-3;;;;Surfactant
L7332;TRICETETH-5 PHOSPHATE;;;;;;;Surfactant
L7333;TRICETYL  PHOSPHATE;;;68814-13-1/56827-95-3;272-336-8;1-Hexadecanol,  phosphate;;Film forming/plasticiser
