enum1;chemical1;Unnamed: 2;enum2;chemical2;Unnamed: 5;Unnamed: 6;Unnamed: 7;enum3;chemical3;colour;legal
E220;Sulphur dioxide;;E219;Sodium methyl p-hydroxybenzoate;;;;E161h;Zeaxanthin;Orange-red;
E221;Sodium sulphite;;E220;Sulphur dioxide;;;;E161i;Citranaxanthin;Deep violet;
E222;Sodium hydrogen sulphite;;E221;Sodium sulphite;;;;E161j;Astaxanthin;Red;
E223;Sodium metabisulphite;;E222;Sodium hydrogen sulphite;;;;E162;"Beetroot Red; Betanin";Red;Approved in the EU.[10] Approved in the US.[11]
E224;Potassium metabisulphite;;E223;Sodium metabisulphite;;;;E163;Anthocyanins;pH dependent(Red, green and purple ranges);Approved in the EU.[10]
E226;Calcium sulphite;;E224;Potassium metabisulphite;;;;E164;Saffron;Orange-red[colour?];Approved in the US.[11]
E227;Calcium hydrogen sulphite;;E226;Calcium sulphite;;;;E170;"Calcium carbonate; Chalk";White;Approved in the EU.[10]
E228;Potassium hydrogen sulphite;;E227;Calcium hydrogen sulphite;;;;E171;Titanium dioxide;White;Approved in the EU.[10] Approved in the US.[11]
E234;Nisin;;E228;Potassium hydrogen sulphite;;;;E172;Iron oxides and iron hydroxides;Brown;Approved in the EU.[10] Approved in the US for sausage casings.[11]
E235;Natamycin;;E234;Nisin;;;;E173;Aluminium;Silver to grey;Approved in the EU.[10]
E239;Hexamethylene tetramine;;E235;Natamycin;;;;E174;Silver;Silver;Approved in the EU.[10]
E242;Dimethyl dicarbonate;;E239;Hexamethylene tetramine;;;;E175;Gold;Gold;Approved in the EU.[10]
E249;Potassium nitrite;;E242;Dimethyl dicarbonate;;;;E180;"Pigment Rubine; Lithol Rubine BK";Red;Approved in the EU.[10]
E250;Sodium nitrite;;E243;Ethyl lauroyl arginate;;;;E181;Tannin;Brown;
E251;Sodium nitrate;;E249;Potassium nitrite;;;;E182;"Orcein; Orchil";Purple;
E252;Potassium nitrate;;E250;Sodium nitrite;;;;E200;Sorbic acid;preservative;Approved in the EU.[10]
E260;Acetic acid;;E251;Sodium nitrate;;;;E201;Sodium sorbate;preservative;
E261;Potassium acetates;;E252;Potassium nitrate;;;;E202;Potassium sorbate;preservative;Approved in the EU.[10]
E262;Sodium acetates;;E280;Propionic acid;;;;E203;Calcium sorbate;preservative;Approved in the EU.[10]
E263;Calcium acetate;;E281;Sodium propionate;;;;E209;Heptyl p-hydroxybenzoate;preservative;
E270;Lactic acid;;E282;Calcium propionate;;;;E210;Benzoic acid;preservative;Approved in the EU.[10]
E280;Propionic acid;;E283;Potassium propionate;;;;E211;Sodium benzoate;preservative;Approved in the EU.[10]
E281;Sodium propionate;;E284;Boric acid;;;;E212;Potassium benzoate;preservative;Approved in the EU.[10]
E282;Calcium propionate;;E285;"Sodium tetraborate; borax";;;;E213;Calcium benzoate;preservative;Approved in the EU.[10]
E283;Potassium propionate;;E1105;Lysozyme;;;;E214;"Ethylparaben;ethyl para-hydroxybenzoate";preservative;Approved in the EU.[10]
E284;Boric acid;;E300;Ascorbic acid;;;;E215;Sodium ethyl para-hydroxybenzoate;preservative;Approved in the EU.[10]
E285;Sodium tetraborate (borax);;E301;Sodium ascorbate;;;;E216;"Propylparaben;propyl para-hydroxybenzoate";preservative;
E290;Carbon dioxide;;E302;Calcium ascorbate;;;;E217;Sodium propyl para-hydroxybenzoate;preservative;
E296;Malic acid;;E304;Fatty acid esters of ascorbic acid;;;;E218;"Methylparaben;methyl para-hydroxybenzoate";preservative;Approved in the EU.[10]
E297;Fumaric acid;;E306;Tocopherols;;;;E219;Sodium methyl para-hydroxybenzoate;preservative;Approved in the EU.[10]
E300;Ascorbic acid;;E307;Alpha-tocopherol;;;;E220;Sulfur dioxide;preservative;Approved in the EU.[10]
E301;Sodium ascorbate;;E308;Gamma-tocopherol;;;;E221;Sodium sulfite;preservative;Approved in the EU.[10]
E302;Calcium ascorbate;;E309;Delta-tocopherol;;;;E222;"Sodium bisulfite;sodium hydrogen sulfite";preservative;Approved in the EU.[10]
E304;Fatty acid esters of ascorbic acid;;E310;Propyl gallate;;;;E223;Sodium metabisulfite;preservative;Approved in the EU.[10]
E306;Tocopherol-rich extract;;E315;Erythorbic acid;;;;E224;Potassium metabisulfite;preservative;Approved in the EU.[10]
E307;Alpha-tocopherol;;E316;Sodium erythorbate;;;;E225;Potassium sulfite;preservative;
E308;Gamma-tocopherol;;E319;Tertiary-butyl hydroquinone (TBHQ);;;;E226;Calcium sulfite;preservative;Approved in the EU.[10]
E309;Delta-tocopherol;;E320;Butylated hydroxyanisole (BHA);;;;E227;Calcium hydrogen sulfite;firming agent;Approved in the EU.[10]
